tempo,x,y
3.535353535353535470e+00,1.249936229370159850e+02,6.374987229932595056e+01
3.636363636363636243e+00,1.285648693066449937e+02,6.377148087689292311e+01
3.737373737373737459e+00,1.321361156762740450e+02,6.369309965750044000e+01
3.838383838383838231e+00,1.357073620459030678e+02,6.351472864114845152e+01
3.939393939393939448e+00,1.392786084155320907e+02,6.323636782783695764e+01
4.040404040404040664e+00,1.428498547851611420e+02,6.285801721756598681e+01
4.141414141414140992e+00,1.464211011547901364e+02,6.237967681033551059e+01
4.242424242424242209e+00,1.499923475244191593e+02,6.180134660614551478e+01
4.343434343434343425e+00,1.535635938940482106e+02,6.112302660499607043e+01
4.444444444444444642e+00,1.571348402636772335e+02,6.034471680688709228e+01
4.545454545454544970e+00,1.607060866333062563e+02,5.946641721181867979e+01
4.646464646464646187e+00,1.642773330029352792e+02,5.848812781979070508e+01
4.747474747474747403e+00,1.678485793725643020e+02,5.740984863080325340e+01
4.848484848484848619e+00,1.714198257421933533e+02,5.623157964485632476e+01
4.949494949494949836e+00,1.749910721118223762e+02,5.495332086194989074e+01
5.050505050505050164e+00,1.785623184814513991e+02,5.357507228208399397e+01
5.151515151515151381e+00,1.821335648510804219e+02,5.209683390525856339e+01
5.252525252525252597e+00,1.857048112207094732e+02,5.051860573147365585e+01
5.353535353535353813e+00,1.892760575903384961e+02,4.884038776072924293e+01
5.454545454545454142e+00,1.928473039599674905e+02,4.706217999302535304e+01
5.555555555555555358e+00,1.964185503295965418e+02,4.518398242836195777e+01
5.656565656565656575e+00,1.999897966992255647e+02,4.320579506673908554e+01
5.757575757575757791e+00,2.035610430688546160e+02,4.112761790815667950e+01
5.858585858585858119e+00,2.071322894384836104e+02,3.894945095261482493e+01
5.959595959595959336e+00,2.107035358081126333e+02,3.667129420011346497e+01
6.060606060606060552e+00,2.142747821777416846e+02,3.429314765065262804e+01
6.161616161616161769e+00,2.178460285473707074e+02,3.181501130423225732e+01
6.262626262626262097e+00,2.214172749169997303e+02,2.923688516085240963e+01
6.363636363636363313e+00,2.249885212866287532e+02,2.655876922051302813e+01
6.464646464646464530e+00,2.285597676562577760e+02,2.378066348321419810e+01
6.565656565656565746e+00,2.321310140258868273e+02,2.090256794895586268e+01
6.666666666666666963e+00,2.357022603955158502e+02,1.792448261773802187e+01
6.767676767676767291e+00,2.392735067651448730e+02,1.484640748956076095e+01
6.868686868686868507e+00,2.428447531347738959e+02,1.166834256442393780e+01
6.969696969696969724e+00,2.464159995044029472e+02,8.390287842327637691e+00
7.070707070707070940e+00,2.499872458740319701e+02,5.012243323271832196e+00
7.171717171717171269e+00,2.535584922436609645e+02,1.534209007256549739e+00
7.272727272727272485e+00,2.571297386132899874e+02,-2.043815105718294944e+00
7.373737373737373701e+00,2.607009849829190671e+02,-5.721829015652531325e+00
7.474747474747474918e+00,2.642722313525480899e+02,-9.499832722546329933e+00
7.575757575757575246e+00,2.678434777221771128e+02,-1.337782622639952024e+01
7.676767676767676463e+00,2.714147240918061357e+02,-1.735580952721232961e+01
7.777777777777777679e+00,2.749859704614351585e+02,-2.143378262498458753e+01
7.878787878787878896e+00,2.785572168310641814e+02,-2.561174551971635083e+01
7.979797979797979224e+00,2.821284632006932043e+02,-2.988969821140756267e+01
8.080808080808081328e+00,2.856997095703222840e+02,-3.426764070005833673e+01
8.181818181818181657e+00,2.892709559399512500e+02,-3.874557298566861618e+01
8.282828282828281985e+00,2.928422023095802729e+02,-4.332349506823823049e+01
8.383838383838384090e+00,2.964134486792093526e+02,-4.800140694776752071e+01
8.484848484848484418e+00,2.999846950488383186e+02,-5.277930862425625946e+01
